Time Step,Time,Total Discharge
566,2015-12-24 14:00:00,0.504688
567,2015-12-24 15:00:00,0.504196
568,2015-12-24 16:00:00,0.503723
569,2015-12-24 17:00:00,0.503268
570,2015-12-24 18:00:00,0.502830
571,2015-12-24 19:00:00,0.502409
572,2015-12-24 20:00:00,0.502003
573,2015-12-24 21:00:00,0.501612
574,2015-12-24 22:00:00,0.501235
575,2015-12-24 23:00:00,0.500872
576,2015-12-25 00:00:00,0.500521
577,2015-12-25 01:00:00,0.500183
578,2015-12-25 02:00:00,0.499856
579,2015-12-25 03:00:00,0.499540
580,2015-12-25 04:00:00,0.499234
581,2015-12-25 05:00:00,0.498938
582,2015-12-25 06:00:00,0.498652
583,2015-12-25 07:00:00,0.498374
584,2015-12-25 08:00:00,0.498104
585,2015-12-25 09:00:00,0.497842
586,2015-12-25 10:00:00,0.497588
587,2015-12-25 11:00:00,0.497340
588,2015-12-25 12:00:00,0.497099
589,2015-12-25 13:00:00,0.496864
590,2015-12-25 14:00:00,0.496635
591,2015-12-25 15:00:00,0.496411
592,2015-12-25 16:00:00,0.496193
593,2015-12-25 17:00:00,0.495979
594,2015-12-25 18:00:00,0.495770
595,2015-12-25 19:00:00,0.495565
596,2015-12-25 20:00:00,0.495364
597,2015-12-25 21:00:00,0.495166
598,2015-12-25 22:00:00,0.494972
599,2015-12-25 23:00:00,0.494781
600,2015-12-26 00:00:00,0.494593
601,2015-12-26 01:00:00,0.494408
602,2015-12-26 02:00:00,0.494225
603,2015-12-26 03:00:00,0.494045
604,2015-12-26 04:00:00,0.493866
605,2015-12-26 05:00:00,0.493690
606,2015-12-26 06:00:00,0.493515
607,2015-12-26 07:00:00,0.493342
608,2015-12-26 08:00:00,0.493171
609,2015-12-26 09:00:00,0.493001
610,2015-12-26 10:00:00,0.492832
611,2015-12-26 11:00:00,0.492664
612,2015-12-26 12:00:00,0.492497
613,2015-12-26 13:00:00,0.492331
614,2015-12-26 14:00:00,0.492166
615,2015-12-26 15:00:00,0.492002
616,2015-12-26 16:00:00,0.491838
617,2015-12-26 17:00:00,0.491674
618,2015-12-26 18:00:00,0.491511
619,2015-12-26 19:00:00,0.491348
620,2015-12-26 20:00:00,0.491186
621,2015-12-26 21:00:00,0.491024
622,2015-12-26 22:00:00,0.490861
623,2015-12-26 23:00:00,0.490699
624,2015-12-27 00:00:00,0.490537
625,2015-12-27 01:00:00,0.490375
626,2015-12-27 02:00:00,0.490213
627,2015-12-27 03:00:00,0.490050
628,2015-12-27 04:00:00,0.489888
629,2015-12-27 05:00:00,0.489725
630,2015-12-27 06:00:00,0.489562
631,2015-12-27 07:00:00,0.489399
632,2015-12-27 08:00:00,0.489235
633,2015-12-27 09:00:00,0.489071
634,2015-12-27 10:00:00,0.488907
635,2015-12-27 11:00:00,0.488742
636,2015-12-27 12:00:00,0.488578
637,2015-12-27 13:00:00,0.488412
638,2015-12-27 14:00:00,0.488247
639,2015-12-27 15:00:00,0.488081
640,2015-12-27 16:00:00,0.487914
